"","strain","hit_score.atoA","hit_id.atoA","description.atoA","hit_score.atoD","hit_id.atoD","description.atoD","hit_score.bcd","hit_id.bcd","description.bcd","hit_score.kce","hit_id.kce","description.kce","hit_score.kal","hit_id.kal","description.kal","hit_score.kamA","hit_id.kamA","description.kamA","hit_score.kamD","hit_id.kamD","description.kamD","hit_score.kamE","hit_id.kamE","description.kamE","hit_score.kdd","hit_id.kdd","description.kdd","pathway","hit_score.thl","hit_id.thl","description.thl","hit_score.cro","hit_id.cro","description.cro","hit_score.hbd","hit_id.hbd","description.hbd","hit_score.ptb","hit_id.ptb","description.ptb","hit_score.buk","hit_id.buk","description.buk","hit_score.but","hit_id.but","description.but","hit_score.gcdA","hit_id.gcdA","description.gcdA","hit_score.gcdB","hit_id.gcdB","description.gcdB","hit_score.gctA","hit_id.gctA","description.gctA","hit_score.gctB","hit_id.gctB","description.gctB","hit_score.hgdA","hit_id.hgdA","description.hgdA","hit_score.hgdB","hit_id.hgdB","description.hgdB","hit_score.hgdC","hit_id.hgdC","description.hgdC","hit_score.abfD","hit_id.abfD","description.abfD","hit_score.abfT","hit_id.abfT","description.abfT","hit_score.abfH","hit_id.abfH","description.abfH"
"1","Alistipes-putredinis-DSM-17216-MAF-2",379.6,"1_1930/1-218","Alistipes-putredinis-DSM-17216-MAF-2_atoA",358.2,"1_1921/1-214","Alistipes-putredinis-DSM-17216-MAF-2_atoD",780.9,"1_1933/1-379","Alistipes-putredinis-DSM-17216-MAF-2_bcd",454.9,"1_1923/1-273","Alistipes-putredinis-DSM-17216-MAF-2_kce",233.7,"1_1922/1-126","Alistipes-putredinis-DSM-17216-MAF-2_kal",710.7,"1_1925/8-418","Alistipes-putredinis-DSM-17216-MAF-2_kamA",1000.5,"1_1928/4-519","Alistipes-putredinis-DSM-17216-MAF-2_kamD",494.9,"1_1929/1-261","Alistipes-putredinis-DSM-17216-MAF-2_kamE",619.3,"1_1924/1-346","Alistipes-putredinis-DSM-17216-MAF-2_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Butyricimonas-virosa-DSM-23226-MAF-2",381.9,"1_641/1-217","Butyricimonas-virosa-DSM-23226-MAF-2_atoA",361.2,"1_631/1-214","Butyricimonas-virosa-DSM-23226-MAF-2_atoD",782.6,"1_643/1-379","Butyricimonas-virosa-DSM-23226-MAF-2_bcd",439.3,"1_633/1-272","Butyricimonas-virosa-DSM-23226-MAF-2_kce",235.2,"1_632/1-128","Butyricimonas-virosa-DSM-23226-MAF-2_kal",716.4,"1_636/3-413","Butyricimonas-virosa-DSM-23226-MAF-2_kamA",1004.1,"1_639/3-517","Butyricimonas-virosa-DSM-23226-MAF-2_kamD",497.1,"1_640/1-261","Butyricimonas-virosa-DSM-23226-MAF-2_kamE",633.2,"1_634/2-347","Butyricimonas-virosa-DSM-23226-MAF-2_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Butyricimonas_faecihominis",379.8,"NZ_JACIES010000002.1_456/1-217","Butyricimonas_faecihominis_atoA",360.7,"NZ_JACIES010000002.1_446/1-214","Butyricimonas_faecihominis_atoD",786.7,"NZ_JACIES010000002.1_458/1-379","Butyricimonas_faecihominis_bcd",440.8,"NZ_JACIES010000002.1_448/1-272","Butyricimonas_faecihominis_kce",235.7,"NZ_JACIES010000002.1_447/1-128","Butyricimonas_faecihominis_kal",715.7,"NZ_JACIES010000002.1_451/3-413","Butyricimonas_faecihominis_kamA",1004.4,"NZ_JACIES010000002.1_454/3-517","Butyricimonas_faecihominis_kamD",498.5,"NZ_JACIES010000002.1_455/1-261","Butyricimonas_faecihominis_kamE",633.2,"NZ_JACIES010000002.1_449/2-347","Butyricimonas_faecihominis_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Butyricimonas_paravirosa",379.8,"NZ_BMPA01000012.1_50/1-217","Butyricimonas_paravirosa_atoA",360.7,"NZ_BMPA01000012.1_60/1-214","Butyricimonas_paravirosa_atoD",785,"NZ_BMPA01000012.1_48/1-379","Butyricimonas_paravirosa_bcd",441.9,"NZ_BMPA01000012.1_58/1-272","Butyricimonas_paravirosa_kce",236.5,"NZ_BMPA01000012.1_59/1-128","Butyricimonas_paravirosa_kal",715.6,"NZ_BMPA01000012.1_55/3-413","Butyricimonas_paravirosa_kamA",1003.3,"NZ_BMPA01000012.1_52/3-517","Butyricimonas_paravirosa_kamD",497.1,"NZ_BMPA01000012.1_51/1-261","Butyricimonas_paravirosa_kamE",633.2,"NZ_BMPA01000012.1_57/2-347","Butyricimonas_paravirosa_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Butyricimonas_synergistica",375.6,"NZ_KB903359.1_1568/1-217","Butyricimonas_synergistica_atoA",363.4,"NZ_KB903359.1_1558/1-214","Butyricimonas_synergistica_atoD",780.9,"NZ_KB903359.1_1570/1-379","Butyricimonas_synergistica_bcd",442.9,"NZ_KB903359.1_1560/1-272","Butyricimonas_synergistica_kce",235.8,"NZ_KB903359.1_1559/1-127","Butyricimonas_synergistica_kal",719.7,"NZ_KB903359.1_1563/3-413","Butyricimonas_synergistica_kamA",1003.6,"NZ_KB903359.1_1566/3-517","Butyricimonas_synergistica_kamD",498,"NZ_KB903359.1_1567/1-261","Butyricimonas_synergistica_kamE",633.4,"NZ_KB903359.1_1561/2-347","Butyricimonas_synergistica_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cetobacterium_somerae",375.8,"NZ_KI518068.1_21/5-220","Cetobacterium_somerae_atoA",340.1,"NZ_KI518068.1_20/1-214","Cetobacterium_somerae_atoD",755.6,"NZ_KI518113.1_3/1-381","Cetobacterium_somerae_bcd",453.7,"NZ_KI518068.1_14/1-272","Cetobacterium_somerae_kce",226.7,"NZ_KI518068.1_15/1-127","Cetobacterium_somerae_kal",695.9,"NZ_KI518068.1_12/9-412","Cetobacterium_somerae_kamA",997.9,"NZ_KI518068.1_9/3-517","Cetobacterium_somerae_kamD",481,"NZ_KI518068.1_8/1-261","Cetobacterium_somerae_kamE",599.4,"NZ_KI518068.1_13/1-344","Cetobacterium_somerae_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Clostridium_felsineum",349.5,"NZ_CP096980.1_2178/4-220","Clostridium_felsineum_atoA",346.6,"NZ_CP096980.1_2177/3-216","Clostridium_felsineum_atoD",772,"NZ_CP096980.1_1329/1-377","Clostridium_felsineum_bcd",426,"NZ_CP096980.1_274/1-271","Clostridium_felsineum_kce",220.3,"NZ_CP096980.1_275/1-127","Clostridium_felsineum_kal",682.7,"NZ_CP096980.1_272/3-416","Clostridium_felsineum_kamA",958,"NZ_CP096980.1_269/1-515","Clostridium_felsineum_kamD",477.3,"NZ_CP096980.1_268/1-261","Clostridium_felsineum_kamE",582.1,"NZ_CP096980.1_273/1-344","Clostridium_felsineum_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Clostridium_lituseburense",356.1,"NZ_FNGW01000001.1_129/3-212","Clostridium_lituseburense_atoA",352.7,"NZ_FNGW01000001.1_130/1-215","Clostridium_lituseburense_atoD",775.8,"NZ_FNGW01000003.1_235/3-373","Clostridium_lituseburense_bcd",447,"NZ_FNGW01000001.1_131/1-272","Clostridium_lituseburense_kce",232.8,"NZ_FNGW01000001.1_132/1-125","Clostridium_lituseburense_kal",698.9,"NZ_FNGW01000001.1_127/4-410","Clostridium_lituseburense_kamA",975.3,"NZ_FNGW01000001.1_124/1-517","Clostridium_lituseburense_kamD",458.7,"NZ_FNGW01000001.1_123/2-259","Clostridium_lituseburense_kamE",593.8,"NZ_FNGW01000001.1_128/2-343","Clostridium_lituseburense_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Clostridium_putrefaciens",375.2,"NZ_UFWZ01000001.1_2738/7-220","Clostridium_putrefaciens_atoA",324.1,"NZ_UFWZ01000001.1_2737/1-215","Clostridium_putrefaciens_atoD",913.8,"NZ_UFWZ01000001.1_1353/1-634","Clostridium_putrefaciens_bcd",454.9,"NZ_UFWZ01000001.1_2736/1-273","Clostridium_putrefaciens_kce",224.8,"NZ_UFWZ01000001.1_2735/1-126","Clostridium_putrefaciens_kal",701.6,"NZ_UFWZ01000001.1_2740/3-416","Clostridium_putrefaciens_kamA",968.3,"NZ_UFWZ01000001.1_2743/1-517","Clostridium_putrefaciens_kamD",486.8,"NZ_UFWZ01000001.1_2744/1-260","Clostridium_putrefaciens_kamE",604.6,"NZ_UFWZ01000001.1_2739/1-344","Clostridium_putrefaciens_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Clostridium_senegalense",386.2,"NZ_JAHLNC010000004.1_18/1-218","Clostridium_senegalense_atoA",369,"NZ_JAHLNC010000004.1_17/1-216","Clostridium_senegalense_atoD",930.6,"NZ_JAHLNC010000005.1_69/1-636","Clostridium_senegalense_bcd",462,"NZ_JAHLNC010000011.1_7/1-272","Clostridium_senegalense_kce",235.8,"NZ_JAHLNC010000011.1_8/1-126","Clostridium_senegalense_kal",708.7,"NZ_JAHLNC010000011.1_5/3-413","Clostridium_senegalense_kamA",1002.5,"NZ_JAHLNC010000011.1_2/1-517","Clostridium_senegalense_kamD",490.1,"NZ_JAHLNC010000011.1_1/1-261","Clostridium_senegalense_kamE",609,"NZ_JAHLNC010000011.1_6/1-347","Clostridium_senegalense_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Clostridium_sticklandii",378.2,"NC_014614.1_1103/2-214","Clostridium_sticklandii_atoA",351.8,"NC_014614.1_1102/1-215","Clostridium_sticklandii_atoD",776.3,"NC_014614.1_1114/1-379","Clostridium_sticklandii_bcd",455.5,"NC_014614.1_1360/1-272","Clostridium_sticklandii_kce",227.4,"NC_014614.1_1361/1-126","Clostridium_sticklandii_kal",685.4,"NC_014614.1_1358/6-412","Clostridium_sticklandii_kamA",980.4,"NC_014614.1_1355/1-515","Clostridium_sticklandii_kamD",467.7,"NC_014614.1_1354/1-261","Clostridium_sticklandii_kamE",607.9,"NC_014614.1_1359/1-343","Clostridium_sticklandii_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Eubacterium_ramulus",364.4,"NZ_CYYA01000003.1_67/1-217","Eubacterium_ramulus_atoA",289.1,"NZ_CYYA01000003.1_66/4-223","Eubacterium_ramulus_atoD",741.5,"NZ_CYYA01000021.1_23/1-388","Eubacterium_ramulus_bcd",464,"NZ_CYYA01000014.1_31/1-272","Eubacterium_ramulus_kce",234.7,"NZ_CYYA01000014.1_30/4-129","Eubacterium_ramulus_kal",697.9,"NZ_CYYA01000014.1_33/4-414","Eubacterium_ramulus_kamA",976.7,"NZ_CYYA01000014.1_34/1-516","Eubacterium_ramulus_kamD",477.6,"NZ_CYYA01000014.1_35/2-259","Eubacterium_ramulus_kamE",563,"NZ_CYYA01000014.1_32/6-346","Eubacterium_ramulus_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
