,strain,gene,hit_score,hit_id,description
0,Abiotrophia_defectiva,Roseburia-inulivorans-pduCDE,169.8,NZ_CP053988.1_1771/235-513,Abiotrophia_defectiva_Roseburia-inulivorans-pduCDE
1,Abiotrophia_defectiva,fucO,349.0,NZ_CP053988.1_1201/11-382,Abiotrophia_defectiva_fucO
2,Abiotrophia_defectiva,lcdC,18.0,NZ_CP053988.1_241/260-321,Abiotrophia_defectiva_lcdC
3,Abiotrophia_defectiva,methylmalonyl-CoA-carboxyltransferase12S,53.9,NZ_CP053988.1_1385/64-276,Abiotrophia_defectiva_methylmalonyl-CoA-carboxyltransferase12S
4,Abiotrophia_defectiva,methylmalonyl-CoA-carboxyltransferase13S,91.2,NZ_CP053988.1_762/4-135,Abiotrophia_defectiva_methylmalonyl-CoA-carboxyltransferase13S
5,Abiotrophia_defectiva,methylmalonyl-CoA-carboxyltransferase5S,534.7,NZ_CP053988.1_754/3-452,Abiotrophia_defectiva_methylmalonyl-CoA-carboxyltransferase5S
6,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseAlpha,69.2,NZ_CP053988.1_1385/62-242,Abiotrophia_defectiva_methylmalonyl-CoA-decarboxylaseAlpha
7,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseBeta,523.6,NZ_CP053988.1_761/5-372,Abiotrophia_defectiva_methylmalonyl-CoA-decarboxylaseBeta
8,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseGamma,135.8,NZ_CP053988.1_762/1-136,Abiotrophia_defectiva_methylmalonyl-CoA-decarboxylaseGamma
9,Abiotrophia_defectiva,methylmalonyl-CoA-epimerase,46.7,NZ_CP053988.1_1475/4-122,Abiotrophia_defectiva_methylmalonyl-CoA-epimerase
10,Abiotrophia_defectiva,pct,24.4,NZ_CP053988.1_756/158-233,Abiotrophia_defectiva_pct
11,Abiotrophia_defectiva,pduP,185.9,NZ_CP053988.1_1745/53-418,Abiotrophia_defectiva_pduP
12,Abiotrophia_defectiva,pduW,490.7,NZ_CP053988.1_1493/2-395,Abiotrophia_defectiva_pduW
13,Acetanaerobacterium_elongatum,Roseburia-inulivorans-pduCDE,138.9,NZ_FNID01000001.1_108/236-512,Acetanaerobacterium_elongatum_Roseburia-inulivorans-pduCDE
14,Acetanaerobacterium_elongatum,fucO,361.8,NZ_FNID01000018.1_34/11-385,Acetanaerobacterium_elongatum_fucO
15,Acetanaerobacterium_elongatum,lcdC,265.1,NZ_FNID01000026.1_9/2-251,Acetanaerobacterium_elongatum_lcdC
16,Acetanaerobacterium_elongatum,methylmalonyl-CoA-carboxyltransferase12S,256.6,NZ_FNID01000004.1_63/21-453,Acetanaerobacterium_elongatum_methylmalonyl-CoA-carboxyltransferase12S
17,Acetanaerobacterium_elongatum,methylmalonyl-CoA-carboxyltransferase13S,78.6,NZ_FNID01000004.1_62/3-137,Acetanaerobacterium_elongatum_methylmalonyl-CoA-carboxyltransferase13S
18,Acetanaerobacterium_elongatum,methylmalonyl-CoA-carboxyltransferase5S,574.1,NZ_FNID01000004.1_61/3-454,Acetanaerobacterium_elongatum_methylmalonyl-CoA-carboxyltransferase5S
19,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseAlpha,354.1,NZ_FNID01000004.1_63/22-454,Acetanaerobacterium_elongatum_methylmalonyl-CoA-decarboxylaseAlpha
20,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseBeta,574.1,NZ_FNID01000055.1_11/3-376,Acetanaerobacterium_elongatum_methylmalonyl-CoA-decarboxylaseBeta
21,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseGamma,145.4,NZ_FNID01000004.1_62/1-139,Acetanaerobacterium_elongatum_methylmalonyl-CoA-decarboxylaseGamma
22,Acetanaerobacterium_elongatum,methylmalonyl-CoA-epimerase,31.2,NZ_FNID01000031.1_14/4-144,Acetanaerobacterium_elongatum_methylmalonyl-CoA-epimerase
23,Acetanaerobacterium_elongatum,pct,27.7,NZ_FNID01000018.1_32/1-66,Acetanaerobacterium_elongatum_pct
24,Acetanaerobacterium_elongatum,pduL,219.5,NZ_FNID01000018.1_28/8-211,Acetanaerobacterium_elongatum_pduL
25,Acetanaerobacterium_elongatum,pduP,522.7,NZ_FNID01000018.1_23/12-469,Acetanaerobacterium_elongatum_pduP
26,Acetanaerobacterium_elongatum,pduW,462.7,NZ_FNID01000005.1_42/2-397,Acetanaerobacterium_elongatum_pduW
27,Achromobacter_denitrificans,fucO,266.6,NZ_CP053986.1_1493/16-384,Achromobacter_denitrificans_fucO
28,Achromobacter_denitrificans,lcdC,19.6,NZ_CP053986.1_3823/354-429,Achromobacter_denitrificans_lcdC
29,Achromobacter_denitrificans,methylmalonyl-CoA-carboxyltransferase12S,317.1,NZ_CP053986.1_4693/19-512,Achromobacter_denitrificans_methylmalonyl-CoA-carboxyltransferase12S
30,Achromobacter_denitrificans,methylmalonyl-CoA-carboxyltransferase13S,72.0,NZ_CP053986.1_4692/592-668,Achromobacter_denitrificans_methylmalonyl-CoA-carboxyltransferase13S
31,Achromobacter_denitrificans,methylmalonyl-CoA-carboxyltransferase5S,41.8,NZ_CP053986.1_4292/102-264,Achromobacter_denitrificans_methylmalonyl-CoA-carboxyltransferase5S
32,Achromobacter_denitrificans,methylmalonyl-CoA-decarboxylaseAlpha,416.6,NZ_CP053986.1_4693/22-519,Achromobacter_denitrificans_methylmalonyl-CoA-decarboxylaseAlpha
33,Achromobacter_denitrificans,methylmalonyl-CoA-decarboxylaseGamma,98.9,NZ_CP053986.1_4692/595-669,Achromobacter_denitrificans_methylmalonyl-CoA-decarboxylaseGamma
34,Achromobacter_denitrificans,methylmalonyl-CoA-epimerase,80.2,NZ_CP053986.1_1967/7-145,Achromobacter_denitrificans_methylmalonyl-CoA-epimerase
35,Achromobacter_denitrificans,pct,77.9,NZ_CP053986.1_6000/9-222,Achromobacter_denitrificans_pct
36,Achromobacter_denitrificans,pduP,53.7,NZ_CP053986.1_2812/43-417,Achromobacter_denitrificans_pduP
37,Achromobacter_denitrificans,pduW,313.6,NZ_CP053986.1_3141/1-390,Achromobacter_denitrificans_pduW
38,Achromobacter_insuavis,fucO,190.1,NZ_CADIKT010000022.1_58/17-382,Achromobacter_insuavis_fucO
39,Achromobacter_insuavis,methylmalonyl-CoA-carboxyltransferase12S,313.6,NZ_CADIKT010000016.1_70/20-512,Achromobacter_insuavis_methylmalonyl-CoA-carboxyltransferase12S
40,Achromobacter_insuavis,methylmalonyl-CoA-carboxyltransferase13S,68.1,NZ_CADIKT010000016.1_69/594-669,Achromobacter_insuavis_methylmalonyl-CoA-carboxyltransferase13S
41,Achromobacter_insuavis,methylmalonyl-CoA-carboxyltransferase5S,38.0,NZ_CADIKT010000001.1_357/160-286,Achromobacter_insuavis_methylmalonyl-CoA-carboxyltransferase5S
42,Achromobacter_insuavis,methylmalonyl-CoA-decarboxylaseAlpha,410.5,NZ_CADIKT010000016.1_70/22-519,Achromobacter_insuavis_methylmalonyl-CoA-decarboxylaseAlpha
43,Achromobacter_insuavis,methylmalonyl-CoA-decarboxylaseGamma,94.2,NZ_CADIKT010000016.1_69/597-670,Achromobacter_insuavis_methylmalonyl-CoA-decarboxylaseGamma
44,Achromobacter_insuavis,methylmalonyl-CoA-epimerase,53.5,NZ_CADIKT010000006.1_307/58-102,Achromobacter_insuavis_methylmalonyl-CoA-epimerase
45,Achromobacter_insuavis,pct,77.3,NZ_CADIKT010000001.1_561/7-223,Achromobacter_insuavis_pct
46,Achromobacter_insuavis,pduP,56.2,NZ_CADIKT010000003.1_505/40-417,Achromobacter_insuavis_pduP
47,Achromobacter_insuavis,pduW,298.6,NZ_CADIKT010000002.1_587/1-390,Achromobacter_insuavis_pduW
48,Achromobacter_spanius,fucO,202.1,NZ_LR134302.1_1190/11-376,Achromobacter_spanius_fucO
49,Achromobacter_spanius,methylmalonyl-CoA-carboxyltransferase12S,319.5,NZ_LR134302.1_2404/20-512,Achromobacter_spanius_methylmalonyl-CoA-carboxyltransferase12S
50,Achromobacter_spanius,methylmalonyl-CoA-carboxyltransferase13S,69.4,NZ_LR134302.1_2403/598-673,Achromobacter_spanius_methylmalonyl-CoA-carboxyltransferase13S
51,Achromobacter_spanius,methylmalonyl-CoA-carboxyltransferase5S,40.7,NZ_LR134302.1_1722/164-281,Achromobacter_spanius_methylmalonyl-CoA-carboxyltransferase5S
52,Achromobacter_spanius,methylmalonyl-CoA-decarboxylaseAlpha,414.0,NZ_LR134302.1_2404/22-519,Achromobacter_spanius_methylmalonyl-CoA-decarboxylaseAlpha
53,Achromobacter_spanius,methylmalonyl-CoA-decarboxylaseGamma,95.9,NZ_LR134302.1_2403/600-674,Achromobacter_spanius_methylmalonyl-CoA-decarboxylaseGamma
54,Achromobacter_spanius,methylmalonyl-CoA-epimerase,78.9,NZ_LR134302.1_4979/7-145,Achromobacter_spanius_methylmalonyl-CoA-epimerase
55,Achromobacter_spanius,pct,78.1,NZ_LR134302.1_3679/7-221,Achromobacter_spanius_pct
56,Achromobacter_spanius,pduP,56.5,NZ_LR134302.1_4221/38-416,Achromobacter_spanius_pduP
57,Achromobacter_spanius,pduW,299.3,NZ_LR134302.1_894/11-399,Achromobacter_spanius_pduW
58,Achromobacter_xylosoxidans,fucO,189.4,NZ_CP043820.1_5669/17-382,Achromobacter_xylosoxidans_fucO
59,Achromobacter_xylosoxidans,methylmalonyl-CoA-carboxyltransferase12S,309.6,NZ_CP043820.1_132/20-512,Achromobacter_xylosoxidans_methylmalonyl-CoA-carboxyltransferase12S
