description,hit_id,targ_id,target_len,hit_score,hit_evalue,hit_bias,hsp_len,hsp_score,hsp_evalue_cond,hsp_evalue_ind,hsp_bias,output_table
Abiotrophia_defectiva_rplB,NZ_CP053988.1_693/1-275,NZ_CP053988.1_693,277,459.2,5e-139,11.1,275,459.1,3e-142,5.5e-139,11.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Abiotrophia_defectiva_rplB.domtblout
Acetanaerobacterium_elongatum_rplB,NZ_FNID01000008.1_74/1-276,NZ_FNID01000008.1_74,278,460.5,3.1e-139,3.8,276,460.3,1.2e-142,3.4e-139,3.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acetanaerobacterium_elongatum_rplB.domtblout
Achromobacter_denitrificans_rplB,NZ_CP053986.1_4493/1-274,NZ_CP053986.1_4493,276,460.3,7.8e-139,9.5,274,460.1,1.4e-142,8.7e-139,9.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Achromobacter_denitrificans_rplB.domtblout
Achromobacter_insuavis_rplB,NZ_CADIKT010000012.1_208/1-274,NZ_CADIKT010000012.1_208,276,462.1,2.2e-139,9.2,274,462.0,7.7e-143,2.4e-139,9.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Achromobacter_insuavis_rplB.domtblout
Achromobacter_spanius_rplB,NZ_LR134302.1_2231/1-274,NZ_LR134302.1_2231,276,461.0,4.5e-139,8.5,274,460.8,8.7e-143,5e-139,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Achromobacter_spanius_rplB.domtblout
Achromobacter_xylosoxidans_rplB,NZ_CP043820.1_5645/1-274,NZ_CP043820.1_5645,276,461.9,2.4e-139,9.7,274,461.7,9.4e-143,2.7e-139,9.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Achromobacter_xylosoxidans_rplB.domtblout
Acidaminococcus_fermentans_rplB,NC_013740.1_1900/1-275,NC_013740.1_1900,277,463.1,3.7e-140,4.5,275,462.9,2e-143,4.1e-140,4.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acidaminococcus_fermentans_rplB.domtblout
Acidaminococcus-intestini-D21-MAF-2_rplB,1_2023/1-275,1_2023,277,457.7,1.7e-138,3.9,275,457.6,8.7e-142,1.9e-138,3.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acidaminococcus-intestini-D21-MAF-2_rplB.domtblout
Acidovorax_facilis_rplB,NZ_CAIGKB010000023.1_55/1-273,NZ_CAIGKB010000023.1_55,275,453.1,9.5e-137,8.8,273,452.9,2.3e-140,1.1e-136,8.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acidovorax_facilis_rplB.domtblout
Acidovorax_wautersii_rplB,NZ_FONX01000015.1_138/1-273,NZ_FONX01000015.1_138,275,452.7,1.2e-136,8.6,273,452.5,2.9e-140,1.4e-136,8.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acidovorax_wautersii_rplB.domtblout
Acinetobacter_baumannii_rplB,NZ_CP043953.1_393/1-272,NZ_CP043953.1_393,275,455.8,1.1e-137,9.6,272,455.7,3.2e-141,1.2e-137,9.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_baumannii_rplB.domtblout
Acinetobacter_calcoaceticus_rplB,NZ_CP020000.1_3342/1-272,NZ_CP020000.1_3342,275,455.3,1.7e-137,9.4,272,455.1,4.8e-141,1.8e-137,9.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_calcoaceticus_rplB.domtblout
Acinetobacter_haemolyticus_rplB,NZ_CP030880.1_368/1-272,NZ_CP030880.1_368,275,456.9,4.2e-138,9.1,272,456.8,1.5e-141,4.7e-138,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_haemolyticus_rplB.domtblout
Acinetobacter_johnsonii_rplB,NZ_KB849703.1_66/1-272,NZ_KB849703.1_66,275,455.9,9.1e-138,8.0,272,455.8,3e-141,1e-137,8.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_johnsonii_rplB.domtblout
Acinetobacter_junii_rplB,NZ_CP059558.1_366/1-272,NZ_CP059558.1_366,275,457.7,2.5e-138,8.5,272,457.5,8.8e-142,2.8e-138,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_junii_rplB.domtblout
Acinetobacter_lwoffii_rplB,NZ_CP072549.1_1656/1-272,NZ_CP072549.1_1656,275,456.1,7.9e-138,8.0,272,456.0,2.7e-141,8.7e-138,8.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_lwoffii_rplB.domtblout
