,strain,gene,hit_score,hit_id,description
0,Abiotrophia_defectiva,abfH,131.1,NZ_CP053988.1_1745/462-761,Abiotrophia_defectiva_abfH
1,Abiotrophia_defectiva,abfT,20.2,NZ_CP053988.1_756/62-323,Abiotrophia_defectiva_abfT
2,Abiotrophia_defectiva,atoA,18.6,NZ_CP053988.1_756/161-206,Abiotrophia_defectiva_atoA
3,Abiotrophia_defectiva,atoD,18.4,NZ_CP053988.1_756/59-138,Abiotrophia_defectiva_atoD
4,Abiotrophia_defectiva,bcd,87.5,NZ_CP053988.1_915/10-351,Abiotrophia_defectiva_bcd
5,Abiotrophia_defectiva,buk,77.1,NZ_CP053988.1_1493/174-337,Abiotrophia_defectiva_buk
6,Abiotrophia_defectiva,gcdA,10.9,NZ_CP053988.1_481/208-296,Abiotrophia_defectiva_gcdA
7,Abiotrophia_defectiva,hbd,21.9,NZ_CP053988.1_6/161-213,Abiotrophia_defectiva_hbd
8,Abiotrophia_defectiva,hgdC,13.6,NZ_CP053988.1_1531/252-323,Abiotrophia_defectiva_hgdC
9,Abiotrophia_defectiva,kal,23.6,NZ_CP053988.1_1645/222-254,Abiotrophia_defectiva_kal
10,Abiotrophia_defectiva,kdd,18.1,NZ_CP053988.1_1742/164-249,Abiotrophia_defectiva_kdd
11,Abiotrophia_defectiva,ptb,95.7,NZ_CP053988.1_1272/4-313,Abiotrophia_defectiva_ptb
12,Abiotrophia_defectiva,thl,540.0,NZ_CP053988.1_410/1-403,Abiotrophia_defectiva_thl
13,Acetanaerobacterium_elongatum,abfH,164.0,NZ_FNID01000033.1_15/65-345,Acetanaerobacterium_elongatum_abfH
14,Acetanaerobacterium_elongatum,abfT,15.6,NZ_FNID01000018.1_32/2-54,Acetanaerobacterium_elongatum_abfT
15,Acetanaerobacterium_elongatum,atoA,48.7,NZ_FNID01000018.1_33/77-217,Acetanaerobacterium_elongatum_atoA
16,Acetanaerobacterium_elongatum,atoD,62.3,NZ_FNID01000018.1_32/1-221,Acetanaerobacterium_elongatum_atoD
17,Acetanaerobacterium_elongatum,bcd,26.3,NZ_FNID01000013.1_70/2-51,Acetanaerobacterium_elongatum_bcd
18,Acetanaerobacterium_elongatum,buk,88.2,NZ_FNID01000005.1_42/1-23,Acetanaerobacterium_elongatum_buk
19,Acetanaerobacterium_elongatum,gcdA,31.0,NZ_FNID01000004.1_63/22-111,Acetanaerobacterium_elongatum_gcdA
20,Acetanaerobacterium_elongatum,gcdB,92.6,NZ_FNID01000018.1_33/12-179,Acetanaerobacterium_elongatum_gcdB
21,Acetanaerobacterium_elongatum,gctA,122.0,NZ_FNID01000018.1_32/1-263,Acetanaerobacterium_elongatum_gctA
22,Acetanaerobacterium_elongatum,gctB,92.6,NZ_FNID01000018.1_33/12-179,Acetanaerobacterium_elongatum_gctB
23,Acetanaerobacterium_elongatum,hbd,22.4,NZ_FNID01000012.1_87/9-90,Acetanaerobacterium_elongatum_hbd
24,Acetanaerobacterium_elongatum,hgdC,222.6,NZ_FNID01000026.1_9/3-249,Acetanaerobacterium_elongatum_hgdC
25,Acetanaerobacterium_elongatum,kal,17.8,NZ_FNID01000001.1_51/37-95,Acetanaerobacterium_elongatum_kal
26,Acetanaerobacterium_elongatum,kamA,12.2,NZ_FNID01000003.1_9/202-261,Acetanaerobacterium_elongatum_kamA
27,Acetanaerobacterium_elongatum,thl,48.4,NZ_FNID01000034.1_9/154-191,Acetanaerobacterium_elongatum_thl
28,Achromobacter_denitrificans,abfH,139.0,NZ_CP053986.1_1493/74-359,Achromobacter_denitrificans_abfH
29,Achromobacter_denitrificans,abfT,140.0,NZ_CP053986.1_2928/12-171,Achromobacter_denitrificans_abfT
30,Achromobacter_denitrificans,atoA,287.6,NZ_CP053986.1_3459/5-210,Achromobacter_denitrificans_atoA
31,Achromobacter_denitrificans,atoD,256.2,NZ_CP053986.1_6000/7-216,Achromobacter_denitrificans_atoD
32,Achromobacter_denitrificans,bcd,545.1,NZ_CP053986.1_1597/3-375,Achromobacter_denitrificans_bcd
33,Achromobacter_denitrificans,buk,57.4,NZ_CP053986.1_3141/2-22,Achromobacter_denitrificans_buk
34,Achromobacter_denitrificans,but,115.1,NZ_CP053986.1_2928/12-176,Achromobacter_denitrificans_but
35,Achromobacter_denitrificans,cro,400.8,NZ_CP053986.1_4938/1-258,Achromobacter_denitrificans_cro
36,Achromobacter_denitrificans,gcdA,174.4,NZ_CP053986.1_3799/41-515,Achromobacter_denitrificans_gcdA
37,Achromobacter_denitrificans,gcdB,75.8,NZ_CP053986.1_2538/14-170,Achromobacter_denitrificans_gcdB
38,Achromobacter_denitrificans,gctA,100.9,NZ_CP053986.1_2539/17-255,Achromobacter_denitrificans_gctA
39,Achromobacter_denitrificans,gctB,75.8,NZ_CP053986.1_2538/14-170,Achromobacter_denitrificans_gctB
40,Achromobacter_denitrificans,hbd,410.9,NZ_CP053986.1_4975/2-290,Achromobacter_denitrificans_hbd
41,Achromobacter_denitrificans,kal,25.4,NZ_CP053986.1_4895/14-91,Achromobacter_denitrificans_kal
42,Achromobacter_denitrificans,kce,260.5,NZ_CP053986.1_3451/4-293,Achromobacter_denitrificans_kce
43,Achromobacter_denitrificans,ptb,353.8,NZ_CP053986.1_3140/8-309,Achromobacter_denitrificans_ptb
44,Achromobacter_denitrificans,thl,578.9,NZ_CP053986.1_2422/1-392,Achromobacter_denitrificans_thl
45,Achromobacter_insuavis,abfH,106.5,NZ_CADIKT010000022.1_58/71-314,Achromobacter_insuavis_abfH
46,Achromobacter_insuavis,abfT,142.6,NZ_CADIKT010000024.1_80/12-171,Achromobacter_insuavis_abfT
47,Achromobacter_insuavis,atoA,282.6,NZ_CADIKT010000001.1_562/5-214,Achromobacter_insuavis_atoA
48,Achromobacter_insuavis,atoD,253.9,NZ_CADIKT010000001.1_561/6-216,Achromobacter_insuavis_atoD
49,Achromobacter_insuavis,bcd,525.3,NZ_CADIKT010000005.1_165/3-374,Achromobacter_insuavis_bcd
50,Achromobacter_insuavis,buk,51.4,NZ_CADIKT010000002.1_587/2-23,Achromobacter_insuavis_buk
51,Achromobacter_insuavis,but,114.7,NZ_CADIKT010000024.1_80/12-176,Achromobacter_insuavis_but
52,Achromobacter_insuavis,cro,396.4,NZ_CADIKT010000011.1_137/1-258,Achromobacter_insuavis_cro
53,Achromobacter_insuavis,gcdA,175.0,NZ_CADIKT010000016.1_70/16-456,Achromobacter_insuavis_gcdA
54,Achromobacter_insuavis,gcdB,79.3,NZ_CADIKT010000003.1_262/14-170,Achromobacter_insuavis_gcdB
55,Achromobacter_insuavis,gctA,95.3,NZ_CADIKT010000003.1_263/17-136,Achromobacter_insuavis_gctA
56,Achromobacter_insuavis,gctB,79.3,NZ_CADIKT010000003.1_262/14-170,Achromobacter_insuavis_gctB
57,Achromobacter_insuavis,hbd,412.2,NZ_CADIKT010000011.1_176/2-290,Achromobacter_insuavis_hbd
58,Achromobacter_insuavis,kal,24.0,NZ_CADIKT010000011.1_82/14-91,Achromobacter_insuavis_kal
59,Achromobacter_insuavis,kce,262.5,NZ_CADIKT010000017.1_94/4-293,Achromobacter_insuavis_kce
60,Achromobacter_insuavis,kdd,14.9,NZ_CADIKT010000002.1_181/149-239,Achromobacter_insuavis_kdd
61,Achromobacter_insuavis,ptb,346.8,NZ_CADIKT010000002.1_588/8-309,Achromobacter_insuavis_ptb
62,Achromobacter_insuavis,thl,579.1,NZ_CADIKT010000003.1_573/1-392,Achromobacter_insuavis_thl
63,Achromobacter_spanius,abfH,109.6,NZ_LR134302.1_2266/71-350,Achromobacter_spanius_abfH
64,Achromobacter_spanius,abfT,138.3,NZ_LR134302.1_672/14-171,Achromobacter_spanius_abfT
65,Achromobacter_spanius,atoA,281.0,NZ_LR134302.1_3680/5-214,Achromobacter_spanius_atoA
66,Achromobacter_spanius,atoD,254.5,NZ_LR134302.1_3679/6-216,Achromobacter_spanius_atoD
67,Achromobacter_spanius,bcd,540.3,NZ_LR134302.1_5267/3-374,Achromobacter_spanius_bcd
68,Achromobacter_spanius,buk,51.4,NZ_LR134302.1_894/12-32,Achromobacter_spanius_buk
69,Achromobacter_spanius,but,111.1,NZ_LR134302.1_672/13-175,Achromobacter_spanius_but
70,Achromobacter_spanius,cro,393.3,NZ_LR134302.1_2680/1-258,Achromobacter_spanius_cro
71,Achromobacter_spanius,gcdA,181.3,NZ_LR134302.1_2404/17-456,Achromobacter_spanius_gcdA
72,Achromobacter_spanius,gcdB,80.1,NZ_LR134302.1_4481/14-230,Achromobacter_spanius_gcdB
73,Achromobacter_spanius,gctA,97.2,NZ_LR134302.1_4480/17-140,Achromobacter_spanius_gctA
74,Achromobacter_spanius,gctB,80.1,NZ_LR134302.1_4481/14-230,Achromobacter_spanius_gctB
75,Achromobacter_spanius,hbd,410.6,NZ_LR134302.1_2717/2-290,Achromobacter_spanius_hbd
76,Achromobacter_spanius,kal,27.2,NZ_LR134302.1_3027/62-101,Achromobacter_spanius_kal
77,Achromobacter_spanius,kce,261.9,NZ_LR134302.1_1527/4-293,Achromobacter_spanius_kce
78,Achromobacter_spanius,ptb,351.6,NZ_LR134302.1_893/8-306,Achromobacter_spanius_ptb
79,Achromobacter_spanius,thl,579.9,NZ_LR134302.1_4586/1-392,Achromobacter_spanius_thl
80,Achromobacter_xylosoxidans,abfH,108.4,NZ_CP043820.1_5669/71-314,Achromobacter_xylosoxidans_abfH
81,Achromobacter_xylosoxidans,abfT,143.6,NZ_CP043820.1_4366/12-171,Achromobacter_xylosoxidans_abfT
82,Achromobacter_xylosoxidans,atoA,281.3,NZ_CP043820.1_1356/5-214,Achromobacter_xylosoxidans_atoA
83,Achromobacter_xylosoxidans,atoD,252.7,NZ_CP043820.1_1355/6-216,Achromobacter_xylosoxidans_atoD
84,Achromobacter_xylosoxidans,bcd,526.5,NZ_CP043820.1_2453/3-374,Achromobacter_xylosoxidans_bcd
85,Achromobacter_xylosoxidans,buk,50.5,NZ_CP043820.1_4557/2-21,Achromobacter_xylosoxidans_buk
86,Achromobacter_xylosoxidans,but,115.6,NZ_CP043820.1_4366/12-176,Achromobacter_xylosoxidans_but
