"","strain","hit_score.rplB","hit_id.rplB","description.rplB"
"1","Abiotrophia_defectiva",459.2,"NZ_CP053988.1_693/1-275","Abiotrophia_defectiva_rplB"
"2","Acetanaerobacterium_elongatum",460.5,"NZ_FNID01000008.1_74/1-276","Acetanaerobacterium_elongatum_rplB"
"3","Achromobacter_denitrificans",460.3,"NZ_CP053986.1_4493/1-274","Achromobacter_denitrificans_rplB"
"4","Achromobacter_insuavis",462.1,"NZ_CADIKT010000012.1_208/1-274","Achromobacter_insuavis_rplB"
"5","Achromobacter_spanius",461,"NZ_LR134302.1_2231/1-274","Achromobacter_spanius_rplB"
"6","Achromobacter_xylosoxidans",461.9,"NZ_CP043820.1_5645/1-274","Achromobacter_xylosoxidans_rplB"
"7","Acidaminococcus-intestini-D21-MAF-2",457.7,"1_2023/1-275","Acidaminococcus-intestini-D21-MAF-2_rplB"
"8","Acidaminococcus_fermentans",463.1,"NC_013740.1_1900/1-275","Acidaminococcus_fermentans_rplB"
"9","Acidovorax_facilis",453.1,"NZ_CAIGKB010000023.1_55/1-273","Acidovorax_facilis_rplB"
"10","Acidovorax_wautersii",452.7,"NZ_FONX01000015.1_138/1-273","Acidovorax_wautersii_rplB"
"11","Acinetobacter_baumannii",455.8,"NZ_CP043953.1_393/1-272","Acinetobacter_baumannii_rplB"
"12","Acinetobacter_calcoaceticus",455.3,"NZ_CP020000.1_3342/1-272","Acinetobacter_calcoaceticus_rplB"
"13","Acinetobacter_haemolyticus",456.9,"NZ_CP030880.1_368/1-272","Acinetobacter_haemolyticus_rplB"
"14","Acinetobacter_johnsonii",455.9,"NZ_KB849703.1_66/1-272","Acinetobacter_johnsonii_rplB"
"15","Acinetobacter_junii",457.7,"NZ_CP059558.1_366/1-272","Acinetobacter_junii_rplB"
"16","Acinetobacter_lwoffii",456.1,"NZ_CP072549.1_1656/1-272","Acinetobacter_lwoffii_rplB"
"17","Acinetobacter_pittii",455.6,"NC_016603.1_2528/1-272","Acinetobacter_pittii_rplB"
"18","Acinetobacter_radioresistens",457.1,"NZ_CP030031.1_2456/1-272","Acinetobacter_radioresistens_rplB"
"19","Acinetobacter_septicus",455.9,"NZ_CP079898.1_1623/1-272","Acinetobacter_septicus_rplB"
"20","Actinobacillus_capsulatus",471.5,"NZ_KB893947.1_26/1-271","Actinobacillus_capsulatus_rplB"
"21","Actinobacillus_pleuropneumoniae",471.7,"NZ_LR134515.1_1872/1-271","Actinobacillus_pleuropneumoniae_rplB"
"22","Actinomyces_canis",460.6,"NZ_RQZF01000003.1_208/1-276","Actinomyces_canis_rplB"
"23","Actinomyces_cardiffensis",456,"NZ_CP040505.1_315/1-276","Actinomyces_cardiffensis_rplB"
"24","Actinomyces_georgiae",458.4,"NZ_AUBM01000006.1_67/1-276","Actinomyces_georgiae_rplB"
"25","Actinomyces_graevenitzii",467.3,"NZ_PNHV01000007.1_57/1-276","Actinomyces_graevenitzii_rplB"
"26","Actinomyces_naeslundii",456.1,"NZ_CP066049.1_2582/1-276","Actinomyces_naeslundii_rplB"
"27","Actinomyces_neuii",453.7,"NZ_PKKO01000002.1_68/1-276","Actinomyces_neuii_rplB"
"28","Actinomyces_oris",457,"NZ_CP066060.1_1694/1-276","Actinomyces_oris_rplB"
"29","Actinomyces_turicensis",456.9,"NZ_JH815209.1_561/1-276","Actinomyces_turicensis_rplB"
"30","Actinomyces_urogenitalis",460.1,"NZ_PKHA01000008.1_23/1-276","Actinomyces_urogenitalis_rplB"
"31","Actinomyces_viscosus",457.5,"NZ_LR134477.1_2833/1-276","Actinomyces_viscosus_rplB"
"32","Adlercreutzia_equolifaciens",476.7,"NC_022567.1_1481/37-313","Adlercreutzia_equolifaciens_rplB"
"33","Aerococcus_viridans",466.2,"NZ_CP014164.1_388/1-276","Aerococcus_viridans_rplB"
"34","Aeromicrobium_massiliense",458.4,"NZ_HE978636.1_236/1-274","Aeromicrobium_massiliense_rplB"
"35","Aeromonas_allosaccharophila",475.3,"NZ_CP065745.1_2866/1-272","Aeromonas_allosaccharophila_rplB"
"36","Aeromonas_bestiarum",474.8,"NZ_PPUX01000011.1_112/1-272","Aeromonas_bestiarum_rplB"
"37","Aeromonas_caviae",475,"NZ_AP022254.1_3787/1-272","Aeromonas_caviae_rplB"
"38","Aeromonas_enteropelogenes",474.6,"NZ_CP084358.1_989/1-272","Aeromonas_enteropelogenes_rplB"
"39","Aeromonas_hydrophila",474,"NZ_CP050851.1_288/1-272","Aeromonas_hydrophila_rplB"
"40","Aeromonas_jandaei",474.8,"NZ_CP066092.1_2272/1-272","Aeromonas_jandaei_rplB"
"41","Aeromonas_media",474.6,"NZ_CP075564.1_203/1-272","Aeromonas_media_rplB"
"42","Aeromonas_punctata",475,"NZ_AP022254.1_3787/1-272","Aeromonas_punctata_rplB"
"43","Aeromonas_tecta",474.1,"NZ_CDCA01000034.1_146/1-272","Aeromonas_tecta_rplB"
"44","Aeromonas_trota",474.6,"NZ_CP084358.1_989/1-272","Aeromonas_trota_rplB"
"45","Aeromonas_veronii",475.3,"NZ_CP044060.1_2645/1-272","Aeromonas_veronii_rplB"
"46","Afipia_birgiae",452.1,"NZ_HG326652.1_569/1-277","Afipia_birgiae_rplB"
"47","Aggregatibacter_actinomycetemcomitans",470.2,"NZ_JABKAH010000015.1_34/1-271","Aggregatibacter_actinomycetemcomitans_rplB"
"48","Aggregatibacter_segnis",469.7,"NZ_LS483443.1_589/1-271","Aggregatibacter_segnis_rplB"
"49","Agrobacterium_tumefaciens",451,"NZ_CP033031.1_1571/1-277","Agrobacterium_tumefaciens_rplB"
"50","Agrococcus_jejuensis",459.6,"NZ_LT629695.1_999/1-278","Agrococcus_jejuensis_rplB"
"51","Agrococcus_terreus",459.8,"NZ_BMLM01000001.1_506/1-277","Agrococcus_terreus_rplB"
"52","Akkermansia_muciniphila",421.8,"NZ_AP021898.1_360/1-277","Akkermansia_muciniphila_rplB"
"53","Alcaligenes_faecalis",465.9,"NZ_CP013119.1_2184/1-274","Alcaligenes_faecalis_rplB"
"54","Aliagarivorans_marinus",483.9,"NZ_AUBY01000023.1_29/1-273","Aliagarivorans_marinus_rplB"
"55","Alistipes-ihumii-AP11-MAF-2",439.4,"1_1197/1-273","Alistipes-ihumii-AP11-MAF-2_rplB"
"56","Alistipes-indistinctus-YIT-12060-MAF-2",417.1,"1_1742/1-265","Alistipes-indistinctus-YIT-12060-MAF-2_rplB"
"57","Alistipes-onderdonkii-DSM-19147-MAF-2",434.9,"1_1040/1-273","Alistipes-onderdonkii-DSM-19147-MAF-2_rplB"
"58","Alistipes-putredinis-DSM-17216-MAF-2",432.1,"1_2049/1-273","Alistipes-putredinis-DSM-17216-MAF-2_rplB"
"59","Alistipes-senegalensis-JC50-MAF-2",434.4,"1_1105/1-273","Alistipes-senegalensis-JC50-MAF-2_rplB"
"60","Alistipes-shahii-WAL-8301-MAF-2",434.2,"1_1326/1-273","Alistipes-shahii-WAL-8301-MAF-2_rplB"
"61","Alistipes_finegoldii",434.8,"NZ_JADMWR010000006.1_109/1-273","Alistipes_finegoldii_rplB"
"62","Alistipes_obesi",429.2,"NZ_AP019735.1_1023/1-273","Alistipes_obesi_rplB"
"63","Alistipes_timonensis",432.6,"NZ_FNRI01000004.1_176/1-273","Alistipes_timonensis_rplB"
"64","Allisonella_histaminiformans",474,"NZ_FMXA01000004.1_78/1-275","Allisonella_histaminiformans_rplB"
"65","Alloprevotella_tannerae",430.7,"NZ_GG700642.1_1077/1-273","Alloprevotella_tannerae_rplB"
"66","Alloscardovia_omnicolens",429,"NZ_PKGT01000004.1_126/1-274","Alloscardovia_omnicolens_rplB"
"67","Anaerobiospirillum_succiniciproducens",436.4,"NZ_AXWV01000087.1_19/1-271","Anaerobiospirillum_succiniciproducens_rplB"
"68","Anaerobiospirillum_thomasii",439.7,"NZ_UAPU01000007.1_882/1-271","Anaerobiospirillum_thomasii_rplB"
"69","Anaerobutyricum_hallii",470.6,"NZ_QSID01000001.1_149/1-278","Anaerobutyricum_hallii_rplB"
"70","Anaerococcus_hydrogenalis",457.5,"NZ_PNHP01000003.1_135/1-277","Anaerococcus_hydrogenalis_rplB"
"71","Anaerococcus_murdochii",450,"NZ_JAIPME010000002.1_382/1-277","Anaerococcus_murdochii_rplB"
"72","Anaerococcus_obesiensis",456.9,"NZ_CP067016.1_925/1-277","Anaerococcus_obesiensis_rplB"
"73","Anaerococcus_octavius",451.9,"NZ_UFTA01000002.1_1328/3-275","Anaerococcus_octavius_rplB"
"74","Anaerococcus_prevotii",454.7,"NZ_UFSY01000001.1_1669/1-277","Anaerococcus_prevotii_rplB"
"75","Anaerococcus_senegalensis",457.9,"NZ_HE578908.1_77/1-277","Anaerococcus_senegalensis_rplB"
"76","Anaerococcus_vaginalis",456.9,"NZ_CP066014.1_309/1-277","Anaerococcus_vaginalis_rplB"
"77","Anaerofustis_stercorihominis",478,"NZ_DS560019.1_967/1-275","Anaerofustis_stercorihominis_rplB"
"78","Anaerorhabdus_furcosa",467.4,"NZ_FUWY01000010.1_31/1-276","Anaerorhabdus_furcosa_rplB"
"79","Anaerostipes-caccae-DSM-14662-MAF-2",465.5,"1_3101/1-278","Anaerostipes-caccae-DSM-14662-MAF-2_rplB"
"80","Anaerostipes_butyraticus",470.1,"NZ_BLYI01000046.1_23/1-278","Anaerostipes_butyraticus_rplB"
"81","Anaerostipes_coli",465.9,"NC_021016.1_590/1-279","Anaerostipes_coli_rplB"
"82","Anaerostipes_hadrus",465.9,"NC_021016.1_590/1-279","Anaerostipes_hadrus_rplB"
"83","Anaerotruncus-colihominis-DSM-17241-MAF-2",457.7,"1_3366/1-276","Anaerotruncus-colihominis-DSM-17241-MAF-2_rplB"
"84","Ancylobacter_polymorphus",448.5,"NZ_CP083239.1_3471/1-276","Ancylobacter_polymorphus_rplB"
"85","Aneurinibacillus_aneurinilyticus",483.9,"NZ_JABAGO010000032.1_39/1-277","Aneurinibacillus_aneurinilyticus_rplB"
"86","Aneurinibacillus_migulanus",483.5,"NZ_LGUG01000009.1_39/1-277","Aneurinibacillus_migulanus_rplB"
"87","Aquabacterium_commune",457.3,"NZ_SNXW01000007.1_235/1-273","Aquabacterium_commune_rplB"
"88","Aquabacterium_parvum",456.9,"NZ_LFRI01000245.1_53/1-273","Aquabacterium_parvum_rplB"
"89","Aquincola_tertiaricarbonis",459.5,"NZ_JZUE01000001.1_5/1-273","Aquincola_tertiaricarbonis_rplB"
"90","Arcanobacterium_haemolyticum",464,"NZ_LS483427.1_638/1-276","Arcanobacterium_haemolyticum_rplB"
"91","Arcanobacterium_pyogenes",461.4,"NZ_CP007519.1_928/1-277","Arcanobacterium_pyogenes_rplB"
"92","Arcobacter_butzleri",432.7,"NC_017187.1_705/1-274","Arcobacter_butzleri_rplB"
"93","Arcobacter_cryaerophilus",428.5,"NZ_CP032823.1_609/1-274","Arcobacter_cryaerophilus_rplB"
"94","Arthrobacter_albus",460.3,"NZ_PKGR01000013.1_37/1-277","Arthrobacter_albus_rplB"
"95","Arthrobacter_castelli",434.4,"NZ_AUMN01000017.1_43/1-277","Arthrobacter_castelli_rplB"
"96","Arthrobacter_globiformis",452.8,"NZ_BAEG01000078.1_45/1-277","Arthrobacter_globiformis_rplB"
"97","Arthrobacter_oxydans",446.1,"NZ_JABTYH010000007.1_73/1-277","Arthrobacter_oxydans_rplB"
"98","Arthrobacter_polychromogenes",446.1,"NZ_BMKU01000003.1_220/1-277","Arthrobacter_polychromogenes_rplB"
"99","Atopobium_minutum",464,"NZ_KB822533.1_390/1-276","Atopobium_minutum_rplB"
"100","Atopobium_parvulum",453.4,"NC_013203.1_1153/1-278","Atopobium_parvulum_rplB"
"101","Atopobium_rimae",456.2,"NZ_ACFE01000001.1_457/1-278","Atopobium_rimae_rplB"
"102","Aurantimonas_altamirensis",444.6,"NZ_FQZC01000001.1_560/1-277","Aurantimonas_altamirensis_rplB"
"103","Aureimonas_ureilytica",445.6,"NZ_BBWT01000072.1_31/1-277","Aureimonas_ureilytica_rplB"
"104","Bacillus_altitudinis",487,"NZ_CP009108.1_1101/1-277","Bacillus_altitudinis_rplB"
"105","Bacillus_amyloliquefaciens",484.1,"NC_020272.1_3674/1-277","Bacillus_amyloliquefaciens_rplB"
"106","Bacillus_arsenicus",481.5,"NZ_MQMF01000006.1_35/1-275","Bacillus_arsenicus_rplB"
"107","Bacillus_atrophaeus",484.6,"NZ_CP007640.1_3654/1-277","Bacillus_atrophaeus_rplB"
"108","Bacillus_badius",487.4,"NZ_CP082363.1_117/1-275","Bacillus_badius_rplB"
"109","Bacillus_beijingensis",480.2,"NZ_FNAR01000001.1_181/1-275","Bacillus_beijingensis_rplB"
"110","Bacillus_benzoevorans",485.5,"NZ_JACHGK010000023.1_34/1-275","Bacillus_benzoevorans_rplB"
"111","Bacillus_cereus",485,"NZ_CP017060.1_111/1-275","Bacillus_cereus_rplB"
"112","Bacillus_clausii",489.8,"NZ_NPBN01000080.1_35/1-275","Bacillus_clausii_rplB"
"113","Bacillus_endophyticus",487.3,"NZ_LWAG01000008.1_34/1-275","Bacillus_endophyticus_rplB"
"114","Bacillus_firmus",489.4,"NZ_UFTC01000001.1_129/1-275","Bacillus_firmus_rplB"
"115","Bacillus_flexus",488.1,"NZ_CP060274.1_4120/1-275","Bacillus_flexus_rplB"
"116","Bacillus_fordii",473.4,"NZ_KB894708.1_38/1-276","Bacillus_fordii_rplB"
"117","Bacillus_halodurans",488.6,"NC_002570.2_138/1-275","Bacillus_halodurans_rplB"
"118","Bacillus_idriensis",490.9,"NZ_CAJFZX010000018.1_43/1-275","Bacillus_idriensis_rplB"
"119","Bacillus_infantis",486.2,"NC_022524.1_123/1-275","Bacillus_infantis_rplB"
"120","Bacillus_licheniformis",488,"NZ_CP014842.1_4141/1-277","Bacillus_licheniformis_rplB"
"121","Bacillus_marisflavi",482.6,"NZ_LGUE01000009.1_39/1-275","Bacillus_marisflavi_rplB"
"122","Bacillus_marseilloanorexicus",488.6,"NZ_CABKRX010000030.1_36/1-275","Bacillus_marseilloanorexicus_rplB"
"123","Bacillus_massiliosenegalensis",488.9,"NZ_HE978521.1_35/1-275","Bacillus_massiliosenegalensis_rplB"
"124","Bacillus_mojavensis",485.9,"NZ_CP051464.1_123/1-277","Bacillus_mojavensis_rplB"
"125","Bacillus_mycoides",484.7,"NZ_CP035997.1_2623/1-275","Bacillus_mycoides_rplB"
"126","Bacillus_nealsonii",483.8,"NZ_PISE01000012.1_36/1-275","Bacillus_nealsonii_rplB"
"127","Bacillus_niacini",487.9,"NZ_BCVA01000029.1_35/1-275","Bacillus_niacini_rplB"
"128","Bacillus_pumilus",486.2,"NZ_PTXV01000006.1_44/1-277","Bacillus_pumilus_rplB"
"129","Bacillus_schlegelii",480,"NZ_JXBB01000016.1_38/1-275","Bacillus_schlegelii_rplB"
"130","Bacillus_simplex",486.4,"NZ_CP017704.1_2317/1-275","Bacillus_simplex_rplB"
"131","Bacillus_siralis",489.6,"NZ_SWLZ01000019.1_61/1-275","Bacillus_siralis_rplB"
