,strain,gene,hit_score,hit_id,description
0,Abiotrophia_defectiva,rplB,459.2,NZ_CP053988.1_693/1-275,Abiotrophia_defectiva_rplB
1,Acetanaerobacterium_elongatum,rplB,460.5,NZ_FNID01000008.1_74/1-276,Acetanaerobacterium_elongatum_rplB
2,Achromobacter_denitrificans,rplB,460.3,NZ_CP053986.1_4493/1-274,Achromobacter_denitrificans_rplB
3,Achromobacter_insuavis,rplB,462.1,NZ_CADIKT010000012.1_208/1-274,Achromobacter_insuavis_rplB
4,Achromobacter_spanius,rplB,461.0,NZ_LR134302.1_2231/1-274,Achromobacter_spanius_rplB
5,Achromobacter_xylosoxidans,rplB,461.9,NZ_CP043820.1_5645/1-274,Achromobacter_xylosoxidans_rplB
6,Acidaminococcus-intestini-D21-MAF-2,rplB,457.7,1_2023/1-275,Acidaminococcus-intestini-D21-MAF-2_rplB
7,Acidaminococcus_fermentans,rplB,463.1,NC_013740.1_1900/1-275,Acidaminococcus_fermentans_rplB
8,Acidovorax_facilis,rplB,453.1,NZ_CAIGKB010000023.1_55/1-273,Acidovorax_facilis_rplB
9,Acidovorax_wautersii,rplB,452.7,NZ_FONX01000015.1_138/1-273,Acidovorax_wautersii_rplB
10,Acinetobacter_baumannii,rplB,455.8,NZ_CP043953.1_393/1-272,Acinetobacter_baumannii_rplB
11,Acinetobacter_calcoaceticus,rplB,455.3,NZ_CP020000.1_3342/1-272,Acinetobacter_calcoaceticus_rplB
12,Acinetobacter_haemolyticus,rplB,456.9,NZ_CP030880.1_368/1-272,Acinetobacter_haemolyticus_rplB
13,Acinetobacter_johnsonii,rplB,455.9,NZ_KB849703.1_66/1-272,Acinetobacter_johnsonii_rplB
14,Acinetobacter_junii,rplB,457.7,NZ_CP059558.1_366/1-272,Acinetobacter_junii_rplB
15,Acinetobacter_lwoffii,rplB,456.1,NZ_CP072549.1_1656/1-272,Acinetobacter_lwoffii_rplB
16,Acinetobacter_pittii,rplB,455.6,NC_016603.1_2528/1-272,Acinetobacter_pittii_rplB
17,Acinetobacter_radioresistens,rplB,457.1,NZ_CP030031.1_2456/1-272,Acinetobacter_radioresistens_rplB
18,Acinetobacter_septicus,rplB,455.9,NZ_CP079898.1_1623/1-272,Acinetobacter_septicus_rplB
19,Actinobacillus_capsulatus,rplB,471.5,NZ_KB893947.1_26/1-271,Actinobacillus_capsulatus_rplB
20,Actinobacillus_pleuropneumoniae,rplB,471.7,NZ_LR134515.1_1872/1-271,Actinobacillus_pleuropneumoniae_rplB
21,Actinomyces_canis,rplB,460.6,NZ_RQZF01000003.1_208/1-276,Actinomyces_canis_rplB
22,Actinomyces_cardiffensis,rplB,456.0,NZ_CP040505.1_315/1-276,Actinomyces_cardiffensis_rplB
23,Actinomyces_georgiae,rplB,458.4,NZ_AUBM01000006.1_67/1-276,Actinomyces_georgiae_rplB
24,Actinomyces_graevenitzii,rplB,467.3,NZ_PNHV01000007.1_57/1-276,Actinomyces_graevenitzii_rplB
25,Actinomyces_naeslundii,rplB,456.1,NZ_CP066049.1_2582/1-276,Actinomyces_naeslundii_rplB
26,Actinomyces_neuii,rplB,453.7,NZ_PKKO01000002.1_68/1-276,Actinomyces_neuii_rplB
27,Actinomyces_oris,rplB,457.0,NZ_CP066060.1_1694/1-276,Actinomyces_oris_rplB
28,Actinomyces_turicensis,rplB,456.9,NZ_JH815209.1_561/1-276,Actinomyces_turicensis_rplB
29,Actinomyces_urogenitalis,rplB,460.1,NZ_PKHA01000008.1_23/1-276,Actinomyces_urogenitalis_rplB
30,Actinomyces_viscosus,rplB,457.5,NZ_LR134477.1_2833/1-276,Actinomyces_viscosus_rplB
31,Adlercreutzia_equolifaciens,rplB,476.7,NC_022567.1_1481/37-313,Adlercreutzia_equolifaciens_rplB
32,Aerococcus_viridans,rplB,466.2,NZ_CP014164.1_388/1-276,Aerococcus_viridans_rplB
33,Aeromicrobium_massiliense,rplB,458.4,NZ_HE978636.1_236/1-274,Aeromicrobium_massiliense_rplB
34,Aeromonas_allosaccharophila,rplB,475.3,NZ_CP065745.1_2866/1-272,Aeromonas_allosaccharophila_rplB
35,Aeromonas_bestiarum,rplB,474.8,NZ_PPUX01000011.1_112/1-272,Aeromonas_bestiarum_rplB
36,Aeromonas_caviae,rplB,475.0,NZ_AP022254.1_3787/1-272,Aeromonas_caviae_rplB
37,Aeromonas_enteropelogenes,rplB,474.6,NZ_CP084358.1_989/1-272,Aeromonas_enteropelogenes_rplB
38,Aeromonas_hydrophila,rplB,474.0,NZ_CP050851.1_288/1-272,Aeromonas_hydrophila_rplB
39,Aeromonas_jandaei,rplB,474.8,NZ_CP066092.1_2272/1-272,Aeromonas_jandaei_rplB
