"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"1","Akkermansia_muciniphila",NA,NA,NA,NA,NA,NA,524.6,"NZ_AP021898.1_214/2-55","Akkermansia_muciniphila_methylmalonyl-CoA-decarboxylaseBeta",114.6,"NZ_AP021898.1_213/1-132","Akkermansia_muciniphila_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,744.9,"NZ_AP021898.1_211/7-521","Akkermansia_muciniphila_methylmalonyl-CoA-decarboxylaseAlpha",796.6,"NZ_AP021898.1_2170/24-693","Akkermansia_muciniphila_methylmalonyl-CoA-mutase",192.5,"NZ_AP021898.1_210/17-152","Akkermansia_muciniphila_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alistipes-indistinctus-YIT-12060-MAF-2",NA,NA,NA,NA,NA,NA,588.7,"1_2100/16-391","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",181.9,"1_2101/1-145","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,926.2,"1_2103/3-520","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",846.9,"1_1390/24-709","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-mutase",221.3,"1_2104/1-136","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alistipes-onderdonkii-DSM-19147-MAF-2",NA,NA,NA,NA,NA,NA,579.6,"1_2638/11-402","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",163.7,"1_2637/1-153","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,917,"1_2635/4-520","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",854.9,"1_382/29-709","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-mutase",231.3,"1_2634/1-135","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alistipes-putredinis-DSM-17216-MAF-2",NA,NA,NA,NA,NA,NA,588.9,"1_1576/11-396","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",163.1,"1_1577/1-154","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,920.5,"1_1579/4-520","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",843.6,"1_619/28-710","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-mutase",229.9,"1_1580/1-135","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alistipes-senegalensis-JC50-MAF-2",NA,NA,NA,NA,NA,NA,590.2,"1_2754/9-402","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",159.4,"1_2753/1-153","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,914.1,"1_2751/3-521","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",857.4,"1_446/29-709","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-mutase",232.2,"1_2750/1-135","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alistipes-shahii-WAL-8301-MAF-2",NA,NA,NA,NA,NA,NA,589.7,"1_2839/9-402","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",166,"1_2838/1-152","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,914.5,"1_2836/3-521","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",847.2,"1_650/29-709","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-mutase",232.3,"1_2835/1-135","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alistipes_finegoldii",NA,NA,NA,NA,NA,NA,583.5,"NZ_JADMWR010000004.1_189/12-390","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseBeta",169.5,"NZ_JADMWR010000004.1_188/1-150","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,914.9,"NZ_JADMWR010000004.1_186/4-520","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseAlpha",852.1,"NZ_JADMWR010000002.1_306/29-709","Alistipes_finegoldii_methylmalonyl-CoA-mutase",232.6,"NZ_JADMWR010000004.1_185/1-135","Alistipes_finegoldii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alistipes_obesi",NA,NA,NA,NA,NA,NA,579.7,"NZ_AP019735.1_2148/16-402","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseBeta",162.2,"NZ_AP019735.1_2149/1-153","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,916.3,"NZ_AP019735.1_2151/4-520","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseAlpha",851,"NZ_AP019735.1_1754/24-707","Alistipes_obesi_methylmalonyl-CoA-mutase",233.8,"NZ_AP019735.1_2152/1-135","Alistipes_obesi_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alistipes_timonensis",NA,NA,NA,NA,NA,NA,589.7,"NZ_FNRI01000005.1_38/11-402","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseBeta",159.1,"NZ_FNRI01000005.1_39/1-153","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,911.5,"NZ_FNRI01000005.1_41/3-520","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseAlpha",851.5,"NZ_FNRI01000002.1_276/29-709","Alistipes_timonensis_methylmalonyl-CoA-mutase",232.7,"NZ_FNRI01000005.1_42/1-135","Alistipes_timonensis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bacteroides-caccae-ATCC-43185-MAF-2",NA,NA,NA,NA,NA,NA,617.6,"1_3281/8-385","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",199.2,"1_3280/1-144","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,937.6,"1_3278/3-517","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",878.8,"1_3601/7-711","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-mutase",229.5,"1_3277/1-134","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Bacteroides-cellulosilyticus-DSM-14838-MAF-2",NA,NA,NA,NA,NA,NA,614.3,"1_2620/9-385","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",198.7,"1_2621/1-141","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.6,"1_2623/3-517","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",877.5,"1_4992/7-697","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-mutase",234,"1_2624/1-136","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Bacteroides-coprophilus-DSM-18228-MAF-2",NA,NA,NA,NA,NA,NA,616.4,"1_3490/8-385","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",189.3,"1_3491/1-142","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.2,"1_3493/3-517","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",878.2,"1_187/10-711","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-mutase",230,"1_3494/1-134","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
